,講義コード,講義名,担当者名
116,300508,基礎ゼミナール２,前川 明寛
117,300509,基礎ゼミナール２,中島 公平
118,300510,基礎ゼミナール２,早藤 英俊
119,300511,基礎ゼミナール２,大藏 信之
120,300512,基礎ゼミナール２,西村 尚哉
121,300513,基礎ゼミナール２,宮田 喜久子
122,300514,基礎ゼミナール２,楊 剣鳴
123,300515,基礎ゼミナール２,片桐 誠之
124,300516,基礎ゼミナール２,三宅 克英
125,300517,基礎ゼミナール２,吉久 光一
126,301135,数学基礎演習１（advanced）,大橋 美佐
127,301136,英語基礎演習１（advanced）,蟹江 弘子
128,301137,英語基礎演習１（advanced）,榎本 暁
129,301207,人文科学基礎１（再）,星 揚一郎
130,301208,社会科学基礎１（再）,齋藤 滋
131,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
132,301232,体育科学１（再）,内山 明
133,301323,心理学,重村 正之
134,301536,数学基礎演習２（advanced）,大橋 美佐
135,301537,英語基礎演習２（advanced）,蟹江 弘子
136,301538,英語基礎演習２（advanced）,榎本 暁
137,301606,人文科学基礎２（再）,星 揚一郎
138,301607,社会科学基礎２（再）,齋藤 滋
139,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
140,301627,体育科学２（再）,内山 明
141,302119,数学基礎演習１,北河 一生|片岡 紀智
142,302124,物理学基礎演習１,中山 章宏
143,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
144,302128,数学基礎演習１,岡 智美|小澤 哲也
145,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
146,302226,微分積分１（再）,岡 智美|柴田 将敬
147,302309,国際経済論,名和 洋人
148,302310,心理学,重村 正之
149,302311,心理学,岡田 順介
150,302327,職業指導論,山口 貴士
151,302517,数学基礎演習２,北河 一生|片岡 紀智
152,302521,物理学基礎演習２,中山 章宏
153,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
154,302626,微分積分２（再）,岡 智美|鍜治 俊輔
155,302706,国際関係論,賀茂 道子
156,302707,文学,松浦 由美子
157,303108,人文科学基礎１,河津 邦喜
158,303109,社会科学基礎１,早坂 泰行
159,303110,社会科学基礎１,齋藤 滋
160,303509,人文科学基礎２,河津 邦喜
161,303510,社会科学基礎２,早坂 泰行
162,303511,社会科学基礎２,齋藤 滋
163,304609,地学２,川瀬 基弘
164,306111,体育科学１,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
165,306218,体育科学３,黒田 真二|辻内 智樹|徳山 性友|松本 秀彦|内田 雄介
166,306513,体育科学２,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
167,307112,化学基礎演習１,本田 真己
168,307513,化学基礎演習２,本田 真己
169,307614,物理学演習（再）,片岡 啓介
170,308104,英語基礎演習１,萩 三恵
171,308106,ドイツ語１,長澤 崇雄
172,308107,フランス語１,太田 康子
173,308108,中国語１,王 喜云
174,308109,中国語１,吉田 仁
175,308208,英語コミュニケーション３,岩住 里美
176,308211,英語コミュニケーション３,山本 茂美
177,308216,アジア文化論１,本村 耐樹
178,308217,アジア文化論１,竹野 富之
179,308218,欧米文化論１,宮北 惠子
180,308219,欧米文化論１,大橋 真砂子
181,308220,ドイツ語３,中村 実生
182,308221,フランス語３,丸岡 美紀子
183,308222,中国語３,寺澤 知美
184,308223,中国語３,岩佐 一枝
185,308305,プラクティカル・イングリッシュ１,Joseph Sichi
186,308306,プラクティカル・イングリッシュ１,Van Horn George
187,308504,英語基礎演習２,萩 三恵
188,308506,ドイツ語２,長澤 崇雄
189,308507,フランス語２,太田 康子
190,308508,中国語２,王 喜云
191,308509,中国語２,吉田 仁
192,308520,物理学実験２,片岡 啓介|神野 誠|鈴木 知多男|中山 章宏
193,308606,英語コミュニケーション４,岩住 里美
194,308609,英語コミュニケーション４,山本 茂美
195,308612,アジア文化論２,本村 耐樹
196,308613,アジア文化論２,竹野 富之
197,308614,欧米文化論２,宮北 惠子
198,308615,欧米文化論２,大橋 真砂子
199,308616,ドイツ語４,中村 実生
200,308617,フランス語４,丸岡 美紀子
201,308618,中国語４,寺澤 知美
202,308619,中国語４,岩佐 一枝
203,308705,プラクティカル・イングリッシュ２,Joseph Sichi
204,308706,プラクティカル・イングリッシュ２,Van Horn George
205,652501,教育行政論,片山 信吾
206,653107,工業科教育法,谷口 正明
207,653116,職業指導論１,山口 貴士
208,653510,工業科指導法,谷口 正明
209,653527,教育実習指導（事前）,谷口 正明
210,652124,教育方法論,後藤 明史
211,652129,道徳教育の指導法,塚原 利理
212,652130,特別活動の指導法,山川 法子
213,651501,学習社会論,片山 信吾
214,651514,教育方法・技術論,後藤 明史
215,652101,発達心理学,木村 美奈子
216,652104,教育法規,片山 信吾
217,652116,道徳教育の理論と指導法,塚原 利理
218,653111,学校課題演習,片山 信吾
219,653112,学校課題演習,谷口 正明|井中 宏史
220,653514,学校課題演習,嶋口 裕基
221,653519,模擬授業演習,谷口 正明
222,661501,生涯学習論,片山 信吾
223,662101,博物館原論,正村 美里
224,662103,日本文化の歴史,山中 雅子
225,662104,民俗学,山中 雅子
226,662501,博物館経営論,土山 公仁
227,662503,古文書学,山中 雅子
228,664007,博物館実習３,三浦 彩子
229,301322,日本国憲法,日比 拓也
230,302240,生物学実験,寺野 ひろ実
231,302307,地学実験１,齊藤 毅
232,302526,数学基礎演習２,岡 智美|日比野 正樹
233,302545,生物学,寺野 ひろ実
234,302703,地学実験２,市原 俊|齊藤 毅
235,302708,日本国憲法,日比 拓也
236,302709,日本国憲法,川中 達治
237,303311,電気機器工学,山中 三四郎
238,304208,地学１,川瀬 基弘
239,308102,微分積分１,三町 祐子
240,308105,線形代数１,松添 博
241,308111,英語コミュニケーション１,松村 昌紀
242,308112,英語コミュニケーション１,宮北 惠子
243,308115,コンピューターリテラシー,大嶽 麻里子
244,308118,物理学実験１,片岡 啓介|神野 誠|鈴木 知多男|中山 章宏
245,308119,化学実験１,景山 伯春|日比野 隆
246,308212,電気設計・製図,星野 昭広
247,308213,電気設計・製図,星野 昭広
248,308501,図学,岡村 浩一
249,308502,微分積分２,三町 祐子
250,308511,英語コミュニケーション２,中村 晴香
251,308512,英語コミュニケーション２,松村 昌紀
252,308513,英語コミュニケーション２,宮北 惠子
253,308521,化学実験２,景山 伯春|日比野 隆
254,651105,教職入門,谷口 正明
255,651110,教育原論,嶋口 裕基
256,651114,教育心理学,木村 美奈子
257,651502,教育課程論,佐々木 基裕
258,651510,生徒・進路指導論,岩﨑 義高
259,652119,教育情報論,平山 勉
260,652123,学校教育相談,川俣 理惠
261,652503,特別支援教育論,曽山 和彦
262,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
263,654105,教育実習１,谷口 正明
264,654113,教育実習２,谷口 正明
265,654121,教育実習指導（事後）,谷口 正明
266,654505,教職実践演習(中・高),谷口 正明
267,654516,教育実習１,谷口 正明
268,654524,教育実習２,谷口 正明
269,654532,教育実習指導（事後）,谷口 正明
270,661502,博物館教育論,川合 剛
271,662102,博物館資料保存論,川瀬 基弘
272,662105,日本文化史（旧カリ）,山中 雅子
273,662106,民俗学（旧カリ）,山中 雅子
274,662502,博物館展示論,尾坂 知江子
275,662504,古文書学（旧カリ）,山中 雅子
276,663001,博物館実習１,三浦 彩子
277,663101,博物館資料論１,川瀬 基弘
278,663103,博物館情報論,平山 勉
279,663104,教育メディア環境論,平山 勉
280,664002,博物館実習２,三浦 彩子
281,664002,博物館実習２,三浦 彩子
