,講義コード,講義名,担当者名
130,301537,英語基礎演習２（advanced）,蟹江 弘子
131,301538,英語基礎演習２（advanced）,榎本 暁
132,301606,人文科学基礎２（再）,星 揚一郎
133,301607,社会科学基礎２（再）,齋藤 滋
134,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
135,301627,体育科学２（再）,内山 明
136,301706,国際経済論,名和 洋人
137,301707,心理学,濱家 徳子
138,301708,心理学,鷲津 秀樹|森口 舞
139,302119,数学基礎演習１,北河 一生|片岡 紀智
140,302124,物理学基礎演習１,中山 章宏
141,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
142,302128,数学基礎演習１,岡 智美|小澤 哲也
143,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
144,302226,微分積分１（再）,岡 智美|柴田 将敬
145,302327,職業指導論,山口 貴士
146,302517,数学基礎演習２,北河 一生|片岡 紀智
147,302521,物理学基礎演習２,中山 章宏
148,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
149,302626,微分積分２（再）,岡 智美|鍜治 俊輔
150,303117,体育科学１,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
151,303517,体育科学２,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
152,304114,人文科学基礎１,河津 邦喜
153,304115,社会科学基礎１,早坂 泰行
154,304116,社会科学基礎１,齋藤 滋
155,304213,アジア文化論１,本村 耐樹
156,304214,アジア文化論１,竹野 富之
157,304215,欧米文化論１,森口 舞
158,304216,欧米文化論１,大橋 真砂子
159,304316,プラクティカル・イングリッシュ１,Van Horn George
160,304512,人文科学基礎２,河津 邦喜
161,304513,社会科学基礎２,早坂 泰行
162,304514,社会科学基礎２,齋藤 滋
163,304609,地学２,川瀬 基弘
164,304613,アジア文化論２,本村 耐樹
165,304614,アジア文化論２,竹野 富之
166,304615,欧米文化論２,森口 舞
167,304616,欧米文化論２,大橋 真砂子
168,304712,プラクティカル・イングリッシュ２,Van Horn George
169,305112,ドイツ語１,今井田 亜弓
170,305113,フランス語１,河脇 都美
171,305114,中国語１,大知 聖子
172,305206,フランス語３,重見 晋也
173,305207,中国語３,大知 聖子
174,305212,英語コミュニケーション３,山本 茂美
175,305213,英語コミュニケーション３,丹嶌 久香
176,305214,英語コミュニケーション３,相川 由美
177,305215,体育科学３,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
178,305503,化学２,景山 伯春
179,305512,ドイツ語２,今井田 亜弓
180,305513,フランス語２,河脇 都美
181,305514,中国語２,大知 聖子
182,305608,フランス語４,重見 晋也
183,305609,中国語４,大知 聖子
184,305617,英語コミュニケーション４,山本 茂美
185,305618,英語コミュニケーション４,丹嶌 久香
186,305619,英語コミュニケーション４,相川 由美
187,305620,体育科学４,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
188,652501,教育行政論,片山 信吾
189,653104,理科指導法Ａ,井中 宏史
190,653107,工業科教育法,谷口 正明
191,653116,職業指導論１,山口 貴士
192,653510,工業科指導法,谷口 正明
193,653527,教育実習指導（事前）,谷口 正明
194,652113,理科教育法Ａ,井中 宏史
195,652124,教育方法論,後藤 明史
196,652128,理科教育法２,井中 宏史
197,652129,道徳教育の指導法,塚原 利理
198,652130,特別活動の指導法,山川 法子
199,652507,理科教育法Ｂ,井中 宏史
200,652515,理科教育法１,井中 宏史
201,653115,理科指導法１,谷口 正明
202,653503,理科指導法Ｂ,井中 宏史
203,651501,学習社会論,片山 信吾
204,651514,教育方法・技術論,後藤 明史
205,652101,発達心理学,木村 美奈子
206,652104,教育法規,片山 信吾
207,652116,道徳教育の理論と指導法,塚原 利理
208,653111,学校課題演習,片山 信吾
209,653112,学校課題演習,谷口 正明|井中 宏史
210,653514,学校課題演習,嶋口 裕基
211,653519,模擬授業演習,谷口 正明
212,661501,生涯学習論,片山 信吾
213,662101,博物館原論,正村 美里
214,662103,日本文化の歴史,山中 雅子
215,662104,民俗学,山中 雅子
216,662501,博物館経営論,土山 公仁
217,662503,古文書学,山中 雅子
218,664007,博物館実習３,三浦 彩子
219,301308,日本国憲法,日比 拓也
220,301309,日本国憲法,川中 達治
221,301322,日本国憲法,日比 拓也
222,302240,生物学実験,寺野 ひろ実
223,302307,地学実験１,齊藤 毅
224,302526,数学基礎演習２,岡 智美|日比野 正樹
225,302545,生物学,寺野 ひろ実
226,302703,地学実験２,市原 俊|齊藤 毅
227,304208,地学１,川瀬 基弘
228,304222,英語コミュニケーション１（再）,中村 栄造
229,304620,英語コミュニケーション２（再）,中村 栄造
230,305103,化学１,景山 伯春
231,305104,英語コミュニケーション１,服部 有紀
232,305105,英語コミュニケーション１,久米 和代
233,305111,コンピューターリテラシー,丹羽 淳一
234,305504,英語コミュニケーション２,服部 有紀
235,305505,英語コミュニケーション２,久米 和代
236,651105,教職入門,谷口 正明
237,651110,教育原論,嶋口 裕基
238,651114,教育心理学,木村 美奈子
239,651502,教育課程論,佐々木 基裕
240,651510,生徒・進路指導論,岩﨑 義高
241,652119,教育情報論,平山 勉
242,652123,学校教育相談,川俣 理惠
243,652503,特別支援教育論,曽山 和彦
244,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
245,654105,教育実習１,谷口 正明
246,654113,教育実習２,谷口 正明
247,654121,教育実習指導（事後）,谷口 正明
248,654505,教職実践演習(中・高),谷口 正明
249,654516,教育実習１,谷口 正明
250,654524,教育実習２,谷口 正明
251,654532,教育実習指導（事後）,谷口 正明
252,661502,博物館教育論,川合 剛
253,662102,博物館資料保存論,川瀬 基弘
254,662105,日本文化史（旧カリ）,山中 雅子
255,662106,民俗学（旧カリ）,山中 雅子
256,662502,博物館展示論,尾坂 知江子
257,662504,古文書学（旧カリ）,山中 雅子
258,663001,博物館実習１,三浦 彩子
259,663101,博物館資料論１,川瀬 基弘
260,663103,博物館情報論,平山 勉
261,663104,教育メディア環境論,平山 勉
262,664002,博物館実習２,三浦 彩子
263,663103,博物館情報論,平山 勉
264,663104,教育メディア環境論,平山 勉
265,664002,博物館実習２,三浦 彩子
