,講義コード,講義名,担当者名
117,611551,英語初級１-２(リーディング),葛谷 明美
118,611552,英語初級１-２(リーディング),古田 雪子
119,611553,英語基礎２(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
120,611554,英語基礎２(リーディング),森 なほみ
121,611555,英語初級１-２(リーディング),古田 雪子
122,611556,英語初級２-２(リーディング),葛谷 明美
123,611557,プログラミング入門,水野 隆文
124,611558,アジア文化論,姜 海守
125,611559,ユビキタスと社会,笠置 剛
126,611560,都市情報学概論２,亀井 栄治
127,611561,日本国憲法,細川 壮平
128,611562,異文化コミュニケーション,亀井 栄治
129,612101,コンピュータ演習５(プレゼンテーション),田口 純子
130,612102,データ分析と確率,宇野 隆
131,612103,都市と行政,昇 秀樹
132,612105,情報管理の基礎,酒井 順哉
133,612106,キャリアアップ講座１,杉浦 真一郎
134,612107,都市学英語１【再履修クラス】,手嶋 正章
135,612108,コンピュータ演習６(データベース),竹治 勲
136,612109,健康科学論１,黒田 真二
137,612110,企業の経営,雑賀 憲彦
138,612111,コンピュータ演習３(オペレーティングシステム),大野 栄治
139,612112,コンピュータ演習３(オペレーティングシステム),亀井 栄治
140,612113,コンピュータ演習３(オペレーティングシステム),鈴木 千文|西野 隆典
141,612114,コンピュータ演習３(オペレーティングシステム),水野 隆文
142,612115,コンピュータ演習３(オペレーティングシステム),島田 康人
143,612116,コンピュータ演習３(オペレーティングシステム),宇野 隆
144,612117,コンピュータ演習３(オペレーティングシステム),山谷 克
145,612118,コンピュータ演習３(オペレーティングシステム),長島 正憲|張 昇平
146,612119,英語基礎１(コミュニケーション)【再履修クラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
147,612120,英語初級１-１(コミュニケーション)【再履修＆ステップアップクラス】,MCKERNON ANDREW
148,612121,英語初級２-１(コミュニケーション)【再履修＆ステップアップクラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
149,612122,英語基礎１(リーディング)【再履修クラス】,森 なほみ
150,612123,英語初級１-１(リーディング)【再履修＆ステップアップクラス】,古田 雪子
151,612124,英語初級２-１(リーディング)【再履修＆ステップアップクラス】,葛谷 明美
152,612125,都市の計画,柄谷 友香
153,612126,サービスサイエンス特別講義２,大野 栄治
154,612127,情報処理の基礎,西野 隆典
155,612128,日本事情概説１,小野 純一
156,612129,コンピュータ総合演習１,小林 翔
157,612501,都市の経済,宮本 由紀
158,612502,データ分析と統計,宇野 隆
159,612503,都市と財政,赤木 博文
160,612504,情報管理の応用,酒井 順哉
161,612505,キャリアアップ講座２,杉浦 真一郎
162,612506,都市学英語２【再履修クラス】,手嶋 正章
163,612507,健康科学論２,黒田 真二
164,612508,都市と事業構想,福島 茂
165,612509,コンピュータ演習４(応用プログラミング),大野 栄治
166,612510,コンピュータ演習４(応用プログラミング),亀井 栄治
167,612511,コンピュータ演習４(応用プログラミング),鈴木 千文|西野 隆典
168,612512,コンピュータ演習４(応用プログラミング),水野 隆文
169,612513,コンピュータ演習４(応用プログラミング),島田 康人
170,612514,コンピュータ演習４(応用プログラミング),宇野 隆
171,612515,コンピュータ演習４(応用プログラミング),山谷 克
172,612516,コンピュータ演習４(応用プログラミング),長島 正憲|張 昇平
173,612517,英語基礎２(コミュニケーション)【再履修クラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
174,612518,英語初級１-２(コミュニケーション)【再履修＆ステップアップクラス】,MCKERNON ANDREW
175,612519,都市の構造,杉浦 真一郎
176,612520,英語初級２-２(コミュニケーション)【再履修＆ステップアップクラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
177,612521,英語基礎２(リーディング)【再履修クラス】,森 なほみ
178,612522,英語初級１-２(リーディング)【再履修＆ステップアップクラス】,古田 雪子
179,612523,英語初級２-２(リーディング)【再履修＆ステップアップクラス】,葛谷 明美
180,612524,情報処理の応用,西野 隆典
181,612525,日本事情概説２,小野 純一
182,612526,都市のデザイン,田口 純子
183,612527,コンピュータ総合演習２,鈴木 淳生
184,612528,インターンシップ,亀井 栄治
185,613001,ゼミナール【３年次】,雑賀 憲彦
186,613002,ゼミナール【３年次】,島田 康人
187,613003,ゼミナール【３年次】,杉浦 真一郎
188,613004,ゼミナール【３年次】,鈴木 淳生
189,613005,ゼミナール【３年次】,宮本 由紀
190,613006,ゼミナール【３年次】,赤木 博文
191,613007,ゼミナール【３年次】,稲葉 千晴
192,613008,ゼミナール【３年次】,鎌田 繁則
193,613009,ゼミナール【３年次】,手嶋 正章
194,613010,ゼミナール【３年次】,昇 秀樹
195,613012,ゼミナール【３年次】,張 昇平
196,613013,ゼミナール【３年次】,若林 拓
197,613014,ゼミナール【３年次】,田口 純子
198,613015,ゼミナール【３年次】,大野 栄治
199,613016,ゼミナール【３年次】,小池 聡
200,613017,ゼミナール【３年次】,福島 茂
201,613018,ゼミナール【３年次】,森杉 雅史
202,613019,ゼミナール【３年次】,宇野 隆
203,613020,ゼミナール【３年次】,亀井 栄治
204,613021,ゼミナール【３年次】,酒井 順哉
205,613022,ゼミナール【３年次】,西野 隆典
206,613023,ゼミナール【３年次】,水野 隆文
207,613024,ゼミナール【３年次】,山谷 克
208,613025,ゼミナール【３年次】,杉浦 伸
209,613026,ゼミナール【３年次】,鈴木 千文
210,613101,企業の経済,宮本 由紀
211,613102,環境の評価,大野 栄治
212,613103,地方と財政,赤木 博文
213,613104,評価のOR,杉浦 伸
214,613105,都市と社会保障,鎌田 繁則
215,613106,情報と基礎解析,山谷 克
216,613107,水利用の計画,張 昇平
217,613108,知覚情報と脳の働き,酒井 順哉
218,613109,国際化と地域開発,福島 茂
219,613110,交通の計画,若林 拓
220,613111,公共の政策,手嶋 正章
221,613112,都市と国際関係,稲葉 千晴
222,613113,数理と情報処理,亀井 栄治
223,613115,都市と社会,杉浦 真一郎
224,613116,危機のマネジメント,佐藤 祐司
225,613117,画像と情報処理,西野 隆典
226,613118,企業の会計,島田 康人
227,613119,認知と情報処理,鈴木 千文
228,613120,都市と金融,鈴木 淳生
229,613121,貨幣の経済,水野 隆文
230,613501,観光と政策,大野 栄治
231,613502,事業の評価,大野 栄治
232,613503,都市と自治,昇 秀樹
233,613504,経営のOR,杉浦 伸
234,613505,都市と福祉,鎌田 繁則
235,613506,都市の再生,田口 純子
236,613507,環境の政策,森杉 雅史
237,613508,観光と経営,伊豆 芳人
238,613509,情報と応用解析,山谷 克
239,613510,水環境とまちづくり,張 昇平
240,613511,都市生活とストレス,酒井 順哉
241,613512,事業のマネジメント,雑賀 憲彦
242,613513,交通とまちづくり,若林 拓
243,613514,経済の政策,手嶋 正章
244,613515,国際社会と政治,稲葉 千晴
245,613516,知識と情報処理,亀井 栄治
246,613517,防災とまちづくり,柄谷 友香
247,613518,地域環境の保全,小池 聡
248,613519,経済と地理,杉浦 真一郎
249,613520,紛争のマネジメント,佐藤 祐司
250,613521,図形と情報処理,西野 隆典
251,613522,都市と公企業,島田 康人
252,613523,意思決定の数理,鈴木 淳生
253,613524,計画の数理,水野 隆文
254,613525,視環境と情報処理,笠置 剛
255,614001,ゼミナール【４年次】,雑賀 憲彦
256,614002,ゼミナール【４年次】,島田 康人
257,614003,ゼミナール【４年次】,杉浦 真一郎
258,614004,ゼミナール【４年次】,鈴木 淳生
259,614006,ゼミナール【４年次】,赤木 博文
260,614007,ゼミナール【４年次】,稲葉 千晴
261,614008,ゼミナール【４年次】,鎌田 繁則
262,614009,ゼミナール【４年次】,手嶋 正章
263,614010,ゼミナール【４年次】,昇 秀樹
264,614012,ゼミナール【４年次】,張 昇平
265,614013,ゼミナール【４年次】,若林 拓
266,614014,ゼミナール【４年次】,田口 純子
267,614015,ゼミナール【４年次】,大野 栄治
268,614016,ゼミナール【４年次】,小池 聡
269,614017,ゼミナール【４年次】,福島 茂
270,614018,ゼミナール【４年次】,森杉 雅史
271,614019,ゼミナール【４年次】,宇野 隆
272,614020,ゼミナール【４年次】,亀井 栄治
273,614021,ゼミナール【４年次】,酒井 順哉
274,614022,ゼミナール【４年次】,西野 隆典
275,614023,ゼミナール【４年次】,水野 隆文
276,614024,ゼミナール【４年次】,山谷 克
277,614025,ゼミナール【４年次】,杉浦 伸
278,614026,ゼミナール【４年次】,鈴木 千文
279,653525,教育実習指導（事前）,平山 勉
280,652519,地理学（旧カリ）,稲垣 建志
281,651501,学習社会論,片山 信吾
282,651512,教育方法・技術論,平山 勉
283,652101,発達心理学,木村 美奈子
284,652103,教育行政論,片山 信吾
285,652104,教育法規,片山 信吾
286,652115,道徳教育の理論と指導法,権田 昭|宮嶋 秀光
287,652125,教育方法論,平山 勉
288,652516,道徳教育の指導法,嶋口 裕基
289,652517,特別活動の指導法,曽山 和彦
290,653111,学校課題演習,片山 信吾
291,653112,学校課題演習,谷口 正明|井中 宏史
292,653514,学校課題演習,嶋口 裕基
293,653517,模擬授業演習,平山 勉
294,661501,生涯学習論,片山 信吾
295,662101,博物館原論,正村 美里
296,662103,日本文化の歴史,山中 雅子
