,講義コード,講義名,担当者名
128,300509,基礎ゼミナール２,中島 公平
129,300510,基礎ゼミナール２,早藤 英俊
130,300511,基礎ゼミナール２,大藏 信之
131,300512,基礎ゼミナール２,西村 尚哉
132,300513,基礎ゼミナール２,宮田 喜久子
133,300514,基礎ゼミナール２,楊 剣鳴
134,300515,基礎ゼミナール２,片桐 誠之
135,300516,基礎ゼミナール２,三宅 克英
136,300517,基礎ゼミナール２,吉久 光一
137,301122,体育科学１,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
138,301135,数学基礎演習１（advanced）,大橋 美佐
139,301136,英語基礎演習１（advanced）,蟹江 弘子
140,301137,英語基礎演習１（advanced）,榎本 暁
141,301207,人文科学基礎１（再）,星 揚一郎
142,301208,社会科学基礎１（再）,齋藤 滋
143,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
144,301232,体育科学１（再）,内山 明
145,301323,心理学,重村 正之
146,301523,体育科学２,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
147,301536,数学基礎演習２（advanced）,大橋 美佐
148,301537,英語基礎演習２（advanced）,蟹江 弘子
149,301538,英語基礎演習２（advanced）,榎本 暁
150,301606,人文科学基礎２（再）,星 揚一郎
151,301607,社会科学基礎２（再）,齋藤 滋
152,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
153,301627,体育科学２（再）,内山 明
154,302119,数学基礎演習１,北河 一生|片岡 紀智
155,302124,物理学基礎演習１,中山 章宏
156,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
157,302128,数学基礎演習１,岡 智美|小澤 哲也
158,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
159,302226,微分積分１（再）,岡 智美|柴田 将敬
160,302309,国際経済論,名和 洋人
161,302310,心理学,重村 正之
162,302311,心理学,岡田 順介
163,302327,職業指導論,山口 貴士
164,302517,数学基礎演習２,北河 一生|片岡 紀智
165,302521,物理学基礎演習２,中山 章宏
166,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
167,302626,微分積分２（再）,岡 智美|鍜治 俊輔
168,302706,国際関係論,賀茂 道子
169,302707,文学,松浦 由美子
170,304114,人文科学基礎１,河津 邦喜
171,304115,社会科学基礎１,早坂 泰行
172,304116,社会科学基礎１,齋藤 滋
173,304213,アジア文化論１,本村 耐樹
174,304214,アジア文化論１,竹野 富之
175,304215,欧米文化論１,森口 舞
176,304216,欧米文化論１,大橋 真砂子
177,304512,人文科学基礎２,河津 邦喜
178,304513,社会科学基礎２,早坂 泰行
179,304514,社会科学基礎２,齋藤 滋
180,304609,地学２,川瀬 基弘
181,304613,アジア文化論２,本村 耐樹
182,304614,アジア文化論２,竹野 富之
183,304615,欧米文化論２,森口 舞
184,304616,欧米文化論２,大橋 真砂子
185,307107,ドイツ語１,長澤 崇雄
186,307108,フランス語１,太田 康子
187,307109,中国語１,王 喜云
188,307110,中国語１,ｹｲ 桂芝
189,307112,化学基礎演習１,本田 真己
190,307203,英語コミュニケーション３,久米 和代
191,307204,英語コミュニケーション３,鬼頭 延寧
192,307205,英語コミュニケーション３,松浦 由美子
193,307209,英語コミュニケーション３,鬼頭 延寧
194,307210,英語コミュニケーション３,岩塚 さおり
195,307224,体育科学３,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
196,307225,ドイツ語３,村元 麻衣
197,307226,フランス語３,村田 ひで子
198,307227,中国語３,吉田 仁
199,307228,中国語３,董 紅俊
200,307317,プラクティカル・イングリッシュ１,WOOD CHRISTOPHER
201,307507,ドイツ語２,長澤 崇雄
202,307508,フランス語２,太田 康子
203,307509,中国語２,王 喜云
204,307510,中国語２,ｹｲ 桂芝
205,307513,化学基礎演習２,本田 真己
206,307603,英語コミュニケーション４,久米 和代
207,307604,英語コミュニケーション４,鬼頭 延寧
208,307605,英語コミュニケーション４,松浦 由美子
209,307607,英語コミュニケーション４,鬼頭 延寧
210,307608,英語コミュニケーション４,岩塚 さおり
211,307614,物理学演習（再）,片岡 啓介
212,307621,体育科学４,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
213,307622,ドイツ語４,村元 麻衣
214,307623,フランス語４,村田 ひで子
215,307624,中国語４,吉田 仁
216,307625,中国語４,董 紅俊
217,307711,プラクティカル・イングリッシュ２,WOOD CHRISTOPHER
218,652501,教育行政論,片山 信吾
219,653104,理科指導法Ａ,井中 宏史
220,653107,工業科教育法,谷口 正明
221,653116,職業指導論１,山口 貴士
222,653510,工業科指導法,谷口 正明
223,653527,教育実習指導（事前）,谷口 正明
224,652113,理科教育法Ａ,井中 宏史
225,652124,教育方法論,後藤 明史
226,652128,理科教育法２,井中 宏史
227,652129,道徳教育の指導法,塚原 利理
228,652130,特別活動の指導法,山川 法子
229,652507,理科教育法Ｂ,井中 宏史
230,652515,理科教育法１,井中 宏史
231,653115,理科指導法１,谷口 正明
232,653503,理科指導法Ｂ,井中 宏史
233,651501,学習社会論,片山 信吾
234,651514,教育方法・技術論,後藤 明史
235,652101,発達心理学,木村 美奈子
236,652104,教育法規,片山 信吾
237,652116,道徳教育の理論と指導法,塚原 利理
238,653111,学校課題演習,片山 信吾
239,653112,学校課題演習,谷口 正明|井中 宏史
240,653514,学校課題演習,嶋口 裕基
241,653519,模擬授業演習,谷口 正明
242,661501,生涯学習論,片山 信吾
243,662101,博物館原論,正村 美里
244,662103,日本文化の歴史,山中 雅子
245,662104,民俗学,山中 雅子
246,662501,博物館経営論,土山 公仁
247,662503,古文書学,山中 雅子
248,664007,博物館実習３,三浦 彩子
249,301322,日本国憲法,日比 拓也
250,302240,生物学実験,寺野 ひろ実
251,302307,地学実験１,齊藤 毅
252,302526,数学基礎演習２,岡 智美|日比野 正樹
253,302545,生物学,寺野 ひろ実
254,302703,地学実験２,市原 俊|齊藤 毅
255,302708,日本国憲法,日比 拓也
256,302709,日本国憲法,川中 達治
257,304208,地学１,川瀬 基弘
258,307102,コンピューターリテラシー,丹羽 淳一
259,307103,コンピューターリテラシー,安田 倫代
260,307115,線形代数１,飯島 奈央
261,307116,微分積分１,小林 亮一
262,307117,微分積分１,小林 亮一
263,307118,線形代数１,加藤 直樹
264,307119,英語コミュニケーション１,丹嶌 久香
265,307120,英語コミュニケーション１,蟹江 弘子
266,307121,英語コミュニケーション１,川本 早久良
267,307122,物理学１,阿武木 啓朗
268,307123,物理学１,阿武木 啓朗
269,307124,英語コミュニケーション１,榎本 暁
270,307125,英語コミュニケーション１,中村 栄造
271,307126,英語コミュニケーション１,川本 早久良
272,307201,材料科学１,菅 章紀
273,307202,材料科学１,菅 章紀
274,307211,材料科学１（再）,菅 章紀
275,307212,材料力学１,加鳥 裕明
276,307215,材料力学１,加鳥 裕明
277,307502,物理学演習,土屋 文
278,307503,物理学演習,土屋 文
279,307517,線形代数２,飯島 奈央
280,307518,微分積分２,小林 亮一
281,307519,微分積分２,小林 亮一
282,307520,線形代数２,加藤 直樹
283,307521,英語コミュニケーション２,丹嶌 久香
284,307522,英語コミュニケーション２,蟹江 弘子
285,307523,英語コミュニケーション２,川本 早久良
286,307524,物理学２,阿武木 啓朗
287,307525,物理学２,阿武木 啓朗
288,307526,英語コミュニケーション２,榎本 暁
289,307527,英語コミュニケーション２,中村 栄造
290,307528,英語コミュニケーション２,川本 早久良
291,307617,材料力学１（再）,加鳥 裕明
292,651105,教職入門,谷口 正明
293,651110,教育原論,嶋口 裕基
294,651114,教育心理学,木村 美奈子
295,651502,教育課程論,佐々木 基裕
296,651510,生徒・進路指導論,岩﨑 義高
297,652119,教育情報論,平山 勉
298,652123,学校教育相談,川俣 理惠
299,652503,特別支援教育論,曽山 和彦
300,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
301,654105,教育実習１,谷口 正明
302,654113,教育実習２,谷口 正明
