,講義コード,講義名,担当者名
113,300503,基礎ゼミナール２,榎本 暁
114,300504,基礎ゼミナール２,長澤 崇雄
115,300505,基礎ゼミナール２,大知 聖子
116,300506,基礎ゼミナール２,景山 伯春
117,300507,基礎ゼミナール２,相馬 仁
118,300508,基礎ゼミナール２,前川 明寛
119,300509,基礎ゼミナール２,中島 公平
120,300510,基礎ゼミナール２,早藤 英俊
121,300511,基礎ゼミナール２,大藏 信之
122,300512,基礎ゼミナール２,西村 尚哉
123,300513,基礎ゼミナール２,宮田 喜久子
124,300514,基礎ゼミナール２,楊 剣鳴
125,300515,基礎ゼミナール２,片桐 誠之
126,300516,基礎ゼミナール２,三宅 克英
127,300517,基礎ゼミナール２,吉久 光一
128,301130,物理学基礎演習１,鈴木 智子
129,301135,数学基礎演習１（advanced）,大橋 美佐
130,301136,英語基礎演習１（advanced）,蟹江 弘子
131,301137,英語基礎演習１（advanced）,榎本 暁
132,301207,人文科学基礎１（再）,星 揚一郎
133,301208,社会科学基礎１（再）,齋藤 滋
134,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
135,301232,体育科学１（再）,内山 明
136,301306,国際関係論,賀茂 道子
137,301307,文学,緑川 幸成
138,301323,心理学,重村 正之
139,301531,物理学基礎演習２,鈴木 智子
140,301536,数学基礎演習２（advanced）,大橋 美佐
141,301537,英語基礎演習２（advanced）,蟹江 弘子
142,301538,英語基礎演習２（advanced）,榎本 暁
143,301606,人文科学基礎２（再）,星 揚一郎
144,301607,社会科学基礎２（再）,齋藤 滋
145,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
146,301627,体育科学２（再）,内山 明
147,301706,国際経済論,名和 洋人
148,301707,心理学,濱家 徳子
149,301708,心理学,鷲津 秀樹|森口 舞
150,302119,数学基礎演習１,北河 一生|片岡 紀智
151,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
152,302128,数学基礎演習１,岡 智美|小澤 哲也
153,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
154,302220,地学１,塚腰 実
155,302226,微分積分１（再）,岡 智美|柴田 将敬
156,302327,職業指導論,山口 貴士
157,302517,数学基礎演習２,北河 一生|片岡 紀智
158,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
159,302620,地学２,塚腰 実
160,302626,微分積分２（再）,岡 智美|鍜治 俊輔
161,303108,人文科学基礎１,河津 邦喜
162,303109,社会科学基礎１,早坂 泰行
163,303110,社会科学基礎１,齋藤 滋
164,303509,人文科学基礎２,河津 邦喜
165,303510,社会科学基礎２,早坂 泰行
166,303511,社会科学基礎２,齋藤 滋
167,307112,化学基礎演習１,本田 真己
168,307224,体育科学３,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
169,307513,化学基礎演習２,本田 真己
170,307614,物理学演習（再）,片岡 啓介
171,307621,体育科学４,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
172,308104,英語基礎演習１,萩 三恵
173,308216,アジア文化論１,本村 耐樹
174,308217,アジア文化論１,竹野 富之
175,308218,欧米文化論１,宮北 惠子
176,308219,欧米文化論１,大橋 真砂子
177,308504,英語基礎演習２,萩 三恵
178,308612,アジア文化論２,本村 耐樹
179,308613,アジア文化論２,竹野 富之
180,308614,欧米文化論２,宮北 惠子
181,308615,欧米文化論２,大橋 真砂子
182,309105,フランス語１,村田 ひで子
183,309106,中国語１,ｹｲ 桂芝
184,309107,中国語１,李 香善
185,309121,体育科学１,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
186,309205,英語コミュニケーション３,山本 茂美
187,309208,英語コミュニケーション３,中村 晴香
188,309214,ドイツ語３,村元 麻衣
189,309215,フランス語３,河脇 都美
190,309216,中国語３,熊谷 暁子
191,309217,中国語３,秋元 悦子
192,309310,プラクティカル・イングリッシュ１,MARSHALL Michael
193,309504,化学２,神藤 定生
194,309507,フランス語２,村田 ひで子
195,309508,中国語２,ｹｲ 桂芝
196,309509,中国語２,李 香善
197,309512,物理学実験２,坂井 麻里子|鈴木 智子|大久保 敏之
198,309520,体育科学２,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
199,309609,英語コミュニケーション４,山本 茂美
200,309612,英語コミュニケーション４,中村 晴香
201,309618,ドイツ語４,村元 麻衣
202,309619,フランス語４,河脇 都美
203,309620,中国語４,熊谷 暁子
204,309621,中国語４,秋元 悦子
205,309709,プラクティカル・イングリッシュ２,MARSHALL Michael
206,309710,プラクティカル・イングリッシュ２,HARRIS Richard
207,652501,教育行政論,片山 信吾
208,653104,理科指導法Ａ,井中 宏史
209,653107,工業科教育法,谷口 正明
210,653116,職業指導論１,山口 貴士
211,653510,工業科指導法,谷口 正明
212,653527,教育実習指導（事前）,谷口 正明
213,652113,理科教育法Ａ,井中 宏史
214,652124,教育方法論,後藤 明史
215,652128,理科教育法２,井中 宏史
216,652129,道徳教育の指導法,塚原 利理
217,652130,特別活動の指導法,山川 法子
218,652507,理科教育法Ｂ,井中 宏史
219,652515,理科教育法１,井中 宏史
220,653115,理科指導法１,谷口 正明
221,653503,理科指導法Ｂ,井中 宏史
222,651501,学習社会論,片山 信吾
223,651514,教育方法・技術論,後藤 明史
224,652101,発達心理学,木村 美奈子
225,652104,教育法規,片山 信吾
226,652116,道徳教育の理論と指導法,塚原 利理
227,653111,学校課題演習,片山 信吾
228,653112,学校課題演習,谷口 正明|井中 宏史
229,653514,学校課題演習,嶋口 裕基
230,653519,模擬授業演習,谷口 正明
231,661501,生涯学習論,片山 信吾
232,662101,博物館原論,正村 美里
233,662103,日本文化の歴史,山中 雅子
234,662104,民俗学,山中 雅子
235,662501,博物館経営論,土山 公仁
236,662503,古文書学,山中 雅子
237,664007,博物館実習３,三浦 彩子
238,301308,日本国憲法,日比 拓也
239,301309,日本国憲法,川中 達治
240,301322,日本国憲法,日比 拓也
241,302240,生物学実験,寺野 ひろ実
242,302307,地学実験１,齊藤 毅
243,302526,数学基礎演習２,岡 智美|日比野 正樹
244,302545,生物学,寺野 ひろ実
245,302703,地学実験２,市原 俊|齊藤 毅
246,309102,化学１,神藤 定生
247,309111,物理学実験１,鈴木 智子|大久保 敏之|坂井 麻里子
248,309112,化学実験１,神藤 定生
249,309113,英語コミュニケーション１,榎本 暁
250,309114,英語コミュニケーション１,蟹江 弘子
251,309115,英語コミュニケーション１,久米 和代
252,309116,英語コミュニケーション１,松浦 由美子
253,309119,コンピューターリテラシー,安田 倫代
254,309120,コンピューターリテラシー,小笠原 多紀
255,309123,物理学１,曽田 一雄
256,309505,物理学演習,古賀 実
257,309513,化学実験２,神藤 定生
258,309514,英語コミュニケーション２,榎本 暁
259,309515,英語コミュニケーション２,蟹江 弘子
260,309516,英語コミュニケーション２,久米 和代
261,309517,英語コミュニケーション２,松浦 由美子
262,309523,物理学２,曽田 一雄
263,651105,教職入門,谷口 正明
264,651110,教育原論,嶋口 裕基
265,651114,教育心理学,木村 美奈子
266,651502,教育課程論,佐々木 基裕
267,651508,生徒・進路指導論,曽山 和彦
268,652119,教育情報論,平山 勉
269,652123,学校教育相談,川俣 理惠
270,652503,特別支援教育論,曽山 和彦
271,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
272,654105,教育実習１,谷口 正明
273,654113,教育実習２,谷口 正明
274,654121,教育実習指導（事後）,谷口 正明
275,654505,教職実践演習(中・高),谷口 正明
276,654516,教育実習１,谷口 正明
277,654524,教育実習２,谷口 正明
278,654532,教育実習指導（事後）,谷口 正明
279,661502,博物館教育論,川合 剛
280,662102,博物館資料保存論,川瀬 基弘
281,662105,日本文化史（旧カリ）,山中 雅子
282,662106,民俗学（旧カリ）,山中 雅子
283,662502,博物館展示論,尾坂 知江子
284,662504,古文書学（旧カリ）,山中 雅子
285,663001,博物館実習１,三浦 彩子
286,663101,博物館資料論１,川瀬 基弘
287,663103,博物館情報論,平山 勉
288,663104,教育メディア環境論,平山 勉
289,664002,博物館実習２,三浦 彩子
290,662102,博物館資料保存論,川瀬 基弘
291,662105,日本文化史（旧カリ）,山中 雅子
292,662106,民俗学（旧カリ）,山中 雅子
293,662502,博物館展示論,尾坂 知江子
294,662504,古文書学（旧カリ）,山中 雅子
295,663001,博物館実習１,三浦 彩子
296,663101,博物館資料論１,川瀬 基弘
297,663103,博物館情報論,平山 勉
298,663104,教育メディア環境論,平山 勉
299,664002,博物館実習２,三浦 彩子
