,講義コード,講義名,担当者名
121,221109,英語（リーディング）１（Ｊ）,廣瀬 聡美
122,221111,英語（リーディング）１（Ｌ）,桑島 薫
123,221113,ドイツ語入門１,下垣 真希
124,221115,中国語入門２,王 莉莎
125,221116,中国語入門２,林 佩芬
126,221119,人間と環境（Ｈ～Ｍ）,相川 奈美|東 正志|桑島 薫|澤田 慎治|澤田 貴之|瀬川 新一|田澤 宗裕|長尾 晃宏|新美 潤一郎|橋場 俊展|堀川 新吾|槇野 均|村上 広一|柳田 純也
127,221121,ドイツ語入門２,神谷 美砂子
128,221122,フランス語入門２,田崎 明子
129,221123,中国語入門１,村松 恵子
130,221124,中国語入門１,杉江 叔子
131,221502,英語（リーディング）２（Ｋ）,岩塚 さおり
132,221503,英語（コミュニケーション）２（Ｌ）,BAILEY Mark
133,221504,英語（リーディング）２（Ｍ）,石塚 杏樹
134,221505,プログラミング実習（Ｊ・Ｋ）,丹羽 直美
135,221506,プログラミング実習（Ｌ・Ｍ）,中島 俊明
136,221507,健康・スポーツ科学２（Ｊ～Ｍ）,石田 直章|小林 洋平|永田 淳|槇野 均
137,221510,英語（リーディング）２（Ｊ）,廣瀬 聡美
138,221512,英語（リーディング）２（Ｌ）,桑島 薫
139,221515,フランス語初級１,堀畑 正樹
140,221516,中国語初級２,王 莉莎
141,221517,ドイツ語初級１,下垣 真希
142,221518,中国語初級２,林 佩芬
143,221521,中国語初級１,村松 恵子
144,221522,ドイツ語初級２,神谷 美砂子
145,221523,中国語初級１,杉江 叔子
146,221524,フランス語初級２,田崎 明子
147,222101,英語（コミュニケーション）中級１（Ｊ）,HOARE Peter A.
148,222102,英語（コミュニケーション）中級１（Ｋ）,PARSONS JOHN
149,222103,英語（リーディング）３（Ｌ）,大江 光子
150,222104,英語（コミュニケーション）中級１（Ｍ）,Clayton Robert
151,222106,英語実践演習１,石塚 杏樹
152,222108,英語実践演習１,杉浦 恵美子
153,222110,英語（リーディング）３（Ｊ）,重藤 智美
154,222111,英語（リーディング）３（Ｋ）,杉浦 恵美子
155,222112,英語（コミュニケーション）中級１（Ｌ）,HOARE Peter A.
156,222113,英語（リーディング）３（Ｍ）,大達 誉華
157,222115,中国語応用１,村松 恵子
