,講義コード,講義名,担当者名
117,301237,体育科学３,黒田 真二|辻内 智樹|徳山 性友|松本 秀彦|内田 雄介
118,301306,国際関係論,賀茂 道子
119,301307,文学,緑川 幸成
120,301323,心理学,重村 正之
121,301531,物理学基礎演習２,鈴木 智子
122,301536,数学基礎演習２（advanced）,大橋 美佐
123,301537,英語基礎演習２（advanced）,蟹江 弘子
124,301538,英語基礎演習２（advanced）,榎本 暁
125,301606,人文科学基礎２（再）,星 揚一郎
126,301607,社会科学基礎２（再）,齋藤 滋
127,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
128,301627,体育科学２（再）,内山 明
129,301706,国際経済論,名和 洋人
130,301707,心理学,濱家 徳子
131,301708,心理学,鷲津 秀樹|森口 舞
132,302119,数学基礎演習１,北河 一生|片岡 紀智
133,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
134,302128,数学基礎演習１,岡 智美|小澤 哲也
135,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
136,302226,微分積分１（再）,岡 智美|柴田 将敬
137,302517,数学基礎演習２,北河 一生|片岡 紀智
138,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
139,302626,微分積分２（再）,岡 智美|鍜治 俊輔
140,303108,人文科学基礎１,河津 邦喜
141,303109,社会科学基礎１,早坂 泰行
142,303110,社会科学基礎１,齋藤 滋
143,303509,人文科学基礎２,河津 邦喜
144,303510,社会科学基礎２,早坂 泰行
145,303511,社会科学基礎２,齋藤 滋
146,307112,化学基礎演習１,本田 真己
147,307513,化学基礎演習２,本田 真己
148,307614,物理学演習（再）,片岡 啓介
149,308104,英語基礎演習１,萩 三恵
150,308216,アジア文化論１,本村 耐樹
151,308217,アジア文化論１,竹野 富之
152,308218,欧米文化論１,宮北 惠子
153,308219,欧米文化論１,大橋 真砂子
154,308504,英語基礎演習２,萩 三恵
155,308612,アジア文化論２,本村 耐樹
156,308613,アジア文化論２,竹野 富之
157,308614,欧米文化論２,宮北 惠子
158,308615,欧米文化論２,大橋 真砂子
159,309121,体育科学１,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
160,309520,体育科学２,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
161,310109,フランス語１,河脇 都美
162,310110,中国語１,王 喜云
163,310208,英語コミュニケーション３,赤塚 麻里
164,310209,英語コミュニケーション３,田中 晴紀
165,310210,英語コミュニケーション３,武藤 美代子
166,310211,英語コミュニケーション３,宮北 惠子
167,310215,ドイツ語３,村元 麻衣
168,310216,フランス語３,山口 憲男
169,310217,中国語３,熊谷 暁子
170,310218,中国語３,秋元 悦子
171,310307,プラクティカル・イングリッシュ１,WOOD CHRISTOPHER
172,310308,プラクティカル・イングリッシュ１,Van Horn George
173,310501,化学２,田中 義人
174,310509,フランス語２,河脇 都美
175,310510,中国語２,王 喜云
176,310512,地学２,居川 信之
177,310611,英語コミュニケーション４,赤塚 麻里
178,310612,英語コミュニケーション４,田中 晴紀
179,310613,英語コミュニケーション４,武藤 美代子
180,310614,英語コミュニケーション４,宮北 惠子
181,310616,ドイツ語４,村元 麻衣
182,310617,フランス語４,山口 憲男
183,310618,中国語４,熊谷 暁子
184,310619,中国語４,秋元 悦子
185,310703,プラクティカル・イングリッシュ２,WOOD CHRISTOPHER
186,310704,プラクティカル・イングリッシュ２,Van Horn George
187,652501,教育行政論,片山 信吾
188,653104,理科指導法Ａ,井中 宏史
189,653107,工業科教育法,谷口 正明
190,653116,職業指導論１,山口 貴士
191,653510,工業科指導法,谷口 正明
192,653527,教育実習指導（事前）,谷口 正明
193,652113,理科教育法Ａ,井中 宏史
194,652124,教育方法論,後藤 明史
195,652128,理科教育法２,井中 宏史
196,652129,道徳教育の指導法,塚原 利理
197,652130,特別活動の指導法,山川 法子
198,652507,理科教育法Ｂ,井中 宏史
199,652515,理科教育法１,井中 宏史
200,653115,理科指導法１,谷口 正明
201,653503,理科指導法Ｂ,井中 宏史
202,651501,学習社会論,片山 信吾
203,651514,教育方法・技術論,後藤 明史
204,652101,発達心理学,木村 美奈子
205,652104,教育法規,片山 信吾
206,652116,道徳教育の理論と指導法,塚原 利理
207,653111,学校課題演習,片山 信吾
208,653112,学校課題演習,谷口 正明|井中 宏史
209,653514,学校課題演習,嶋口 裕基
210,653519,模擬授業演習,谷口 正明
211,661501,生涯学習論,片山 信吾
212,662101,博物館原論,正村 美里
213,662103,日本文化の歴史,山中 雅子
214,662104,民俗学,山中 雅子
215,662501,博物館経営論,土山 公仁
216,662503,古文書学,山中 雅子
217,664007,博物館実習３,三浦 彩子
218,301308,日本国憲法,日比 拓也
219,301309,日本国憲法,川中 達治
220,301322,日本国憲法,日比 拓也
221,302240,生物学実験,寺野 ひろ実
222,302526,数学基礎演習２,岡 智美|日比野 正樹
223,302545,生物学,寺野 ひろ実
224,304222,英語コミュニケーション１（再）,中村 栄造
225,304620,英語コミュニケーション２（再）,中村 栄造
226,310101,化学１,田中 義人
227,310102,地学１,齊藤 毅
228,310103,コンピューターリテラシー,丹羽 淳一
229,310105,線形代数１,松添 博
230,310106,線形代数１,中島 規博
231,310107,地学実験１,居川 信之|齊藤 毅
232,310112,コンピューターリテラシー,安田 倫代
233,310113,微分積分１,大西 良博
234,310114,微分積分１,堀田 耕作
235,310115,英語コミュニケーション１,蟹江 弘子
236,310116,英語コミュニケーション１,岩塚 さおり
237,310117,英語コミュニケーション１,田中 晴紀
238,310118,英語コミュニケーション１,永井 正司
239,310120,化学実験１,日比野 隆|本田 真己
240,310121,物理学１,曽田 一雄
241,310503,地学実験２,市原 俊|齊藤 毅
242,310505,線形代数２,松添 博
243,310506,線形代数２,中島 規博
244,310513,物理学演習,今井 大地
245,310514,微分積分２,田坂 浩二
246,310515,微分積分２,堀田 耕作
247,310516,英語コミュニケーション２,蟹江 弘子
248,310517,英語コミュニケーション２,岩塚 さおり
249,310518,英語コミュニケーション２,田中 晴紀
250,310519,英語コミュニケーション２,永井 正司
251,310522,化学実験２,日比野 隆|本田 真己
252,310524,物理学２,曽田 一雄
253,651105,教職入門,谷口 正明
254,651110,教育原論,嶋口 裕基
255,651114,教育心理学,木村 美奈子
256,651502,教育課程論,佐々木 基裕
257,651508,生徒・進路指導論,曽山 和彦
258,652119,教育情報論,平山 勉
