,講義コード,講義名,担当者名
111,302715,情報技術の応用と職業,石原 嘉市|伊藤 将人|宇佐見 庄五|北野 克典|佐々木 裕之|塩谷 尚人|寺島 靖雅|中野 倫明|平野 智裕|古橋 洋|田中 敏光
112,302716,パターン認識,山田 啓一
113,302717,信号伝送論,旭 健作
114,302718,人工知能（再）,山田 啓一
115,302719,ゼミナール,宇佐見 庄五|亀谷 由隆|小中 英嗣|佐川 雄二|鈴木 秀和|田中 敏光|中野 倫明|野崎 佑典|坂野 秀樹|水沼 洋人|向井 利春|柳田 康幸|山田 啓一|山田 宗男|山本 修身|吉川 雅弥|米澤 弘毅|旭 健作
116,302722,情報通信システム,鈴木 秀和
117,302723,プログラミング言語論,山本 修身
118,302724,組込システム（再）,吉川 雅弥
119,302725,インターンシップ,田中 敏光
120,301106,英語基礎演習１,岩塚 さおり
121,301505,英語基礎演習２,岩塚 さおり
122,301117,化学基礎演習１,村手 宏隆
123,301518,化学基礎演習２,村手 宏隆
124,301615,物理学演習（再）,佐藤 俊郎
125,302206,英語コミュニケーション１（再）,山本 茂美
126,302606,英語コミュニケーション２（再）,山本 茂美
127,300101,基礎ゼミナール１,中村 栄造
128,300102,基礎ゼミナール１,宮北 惠子
129,300103,基礎ゼミナール１,榎本 暁
130,300104,基礎ゼミナール１,長澤 崇雄
131,300105,基礎ゼミナール１,大知 聖子
132,300106,基礎ゼミナール１,景山 伯春
133,300107,基礎ゼミナール１,相馬 仁
134,300108,基礎ゼミナール１,前川 明寛
135,300109,基礎ゼミナール１,中島 公平
136,300110,基礎ゼミナール１,早藤 英俊
137,300111,基礎ゼミナール１,鈴木 昌弘
138,300112,基礎ゼミナール１,大藏 信之
139,300113,基礎ゼミナール１,西村 尚哉
140,300114,基礎ゼミナール１,宮田 喜久子
141,300115,基礎ゼミナール１,楊 剣鳴
142,300116,基礎ゼミナール１,板橋 一雄
143,300117,基礎ゼミナール１,片桐 誠之
144,300118,基礎ゼミナール１,吉久 光一
145,300501,基礎ゼミナール２,中村 栄造
146,300502,基礎ゼミナール２,宮北 惠子
147,300503,基礎ゼミナール２,榎本 暁
148,300504,基礎ゼミナール２,長澤 崇雄
149,300505,基礎ゼミナール２,大知 聖子
150,300506,基礎ゼミナール２,景山 伯春
151,300507,基礎ゼミナール２,相馬 仁
152,300508,基礎ゼミナール２,前川 明寛
153,300509,基礎ゼミナール２,中島 公平
154,300510,基礎ゼミナール２,早藤 英俊
155,300511,基礎ゼミナール２,大藏 信之
156,300512,基礎ゼミナール２,西村 尚哉
157,300513,基礎ゼミナール２,宮田 喜久子
158,300514,基礎ゼミナール２,楊 剣鳴
159,300515,基礎ゼミナール２,片桐 誠之
160,300516,基礎ゼミナール２,三宅 克英
161,300517,基礎ゼミナール２,吉久 光一
162,301107,人文科学基礎１,星 揚一郎
163,301108,人文科学基礎１,河津 邦喜
164,301109,社会科学基礎１,早坂 泰行
165,301110,社会科学基礎１,齋藤 滋
166,301111,社会科学基礎１,森口 舞
167,301135,数学基礎演習１（advanced）,大橋 美佐
168,301136,英語基礎演習１（advanced）,蟹江 弘子
169,301137,英語基礎演習１（advanced）,榎本 暁
170,301207,人文科学基礎１（再）,星 揚一郎
171,301208,社会科学基礎１（再）,齋藤 滋
172,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
173,301232,体育科学１（再）,内山 明
174,301233,アジア文化論１,大知 聖子
175,301234,アジア文化論１,齋藤 滋
176,301235,欧米文化論１,中村 栄造
177,301236,欧米文化論１,小野 康子
178,301323,心理学,重村 正之
179,301506,人文科学基礎２,星 揚一郎
180,301507,人文科学基礎２,河津 邦喜
181,301508,社会科学基礎２,早坂 泰行
182,301509,社会科学基礎２,齋藤 滋
183,301510,社会科学基礎２,森口 舞
184,301536,数学基礎演習２（advanced）,大橋 美佐
185,301537,英語基礎演習２（advanced）,蟹江 弘子
186,301538,英語基礎演習２（advanced）,榎本 暁
187,301606,人文科学基礎２（再）,星 揚一郎
188,301607,社会科学基礎２（再）,齋藤 滋
189,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
190,301627,体育科学２（再）,内山 明
191,301628,アジア文化論２,菅沼 文乃
192,301629,アジア文化論２,齋藤 滋
193,301630,欧米文化論２,長澤 崇雄
194,301631,欧米文化論２,小野 康子
195,302110,体育科学１,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
196,302111,ドイツ語１,長澤 崇雄
197,302112,フランス語１,山口 憲男
198,302113,中国語１,龍神 邦男
199,302119,数学基礎演習１,北河 一生|片岡 紀智
200,302124,物理学基礎演習１,中山 章宏
201,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
202,302128,数学基礎演習１,岡 智美|小澤 哲也
203,302136,中国語１,武田 みゆき
204,302210,英語コミュニケーション３,松村 昌紀
205,302211,英語コミュニケーション３,中村 栄造
206,302212,英語コミュニケーション３,宮北 惠子
207,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
208,302217,ドイツ語３,村元 麻衣
209,302218,フランス語３,河脇 都美
210,302219,中国語３,熊谷 暁子
211,302220,地学１,塚腰 実
212,302221,体育科学３,青山 健太|金子 恭久|永田 恵理|門間 博
213,302226,微分積分１（再）,岡 智美|柴田 将敬
214,302234,英語コミュニケーション３,森岡 稔
215,302235,英語コミュニケーション３,久米 和代
216,302236,英語コミュニケーション３,山本 茂美
217,302237,中国語３,寺澤 知美
218,302309,国際経済論,名和 洋人
219,302310,心理学,重村 正之
220,302311,心理学,岡田 順介
221,302320,プラクティカル・イングリッシュ１,MARSHALL Michael
222,302321,プラクティカル・イングリッシュ１,Van Horn George
223,302327,職業指導論,山口 貴士
224,302509,体育科学２,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
225,302510,ドイツ語２,長澤 崇雄
226,302511,フランス語２,山口 憲男
227,302512,中国語２,龍神 邦男
228,302517,数学基礎演習２,北河 一生|片岡 紀智
229,302518,化学２,景山 伯春
230,302521,物理学基礎演習２,中山 章宏
231,302533,中国語２,武田 みゆき
232,302538,化学２,神藤 定生
233,302610,英語コミュニケーション４,松村 昌紀
234,302611,英語コミュニケーション４,中村 栄造
235,302612,英語コミュニケーション４,宮北 惠子
236,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
237,302616,ドイツ語４,村元 麻衣
238,302617,フランス語４,河脇 都美
239,302618,中国語４,熊谷 暁子
240,302620,地学２,塚腰 実
241,302621,体育科学４,青山 健太|金子 恭久|永田 恵理|門間 博
242,302626,微分積分２（再）,岡 智美|鍜治 俊輔
243,302634,英語コミュニケーション４,森岡 稔
244,302635,英語コミュニケーション４,久米 和代
245,302636,英語コミュニケーション４,山本 茂美
246,302637,中国語４,寺澤 知美
247,302706,国際関係論,賀茂 道子
248,302707,文学,松浦 由美子
249,302720,プラクティカル・イングリッシュ２,MARSHALL Michael
250,302721,プラクティカル・イングリッシュ２,Van Horn George
251,652501,教育行政論,片山 信吾
252,653107,工業科教育法,谷口 正明
253,653116,職業指導論１,山口 貴士
254,653510,工業科指導法,谷口 正明
255,653527,教育実習指導（事前）,谷口 正明
256,652124,教育方法論,後藤 明史
257,652129,道徳教育の指導法,塚原 利理
258,652130,特別活動の指導法,山川 法子
259,651501,学習社会論,片山 信吾
260,651514,教育方法・技術論,後藤 明史
261,652101,発達心理学,木村 美奈子
262,652104,教育法規,片山 信吾
263,652116,道徳教育の理論と指導法,塚原 利理
264,653111,学校課題演習,片山 信吾
265,653112,学校課題演習,谷口 正明|井中 宏史
266,653514,学校課題演習,嶋口 裕基
267,653519,模擬授業演習,谷口 正明
268,661501,生涯学習論,片山 信吾
269,662101,博物館原論,正村 美里
270,662103,日本文化の歴史,山中 雅子
271,662104,民俗学,山中 雅子
272,662501,博物館経営論,土山 公仁
273,662503,古文書学,山中 雅子
274,664007,博物館実習３,三浦 彩子
275,301322,日本国憲法,日比 拓也
276,302104,コンピュータアーキテクチャ1（再）,吉川 雅弥
277,302106,微分積分１,鈴木 紀明
278,302108,化学実験１,村手 宏隆|景山 伯春
279,302114,英語コミュニケーション１,森岡 稔
280,302115,英語コミュニケーション１,寺西 範恭
281,302116,英語コミュニケーション１,山本 茂美
282,302117,物理学１,鈴木 知多男
283,302120,確率論（再）,水沼 洋人
284,302121,化学１,景山 伯春
285,302122,線形代数１,小川 束
