,講義コード,講義名,担当者名
692,652132,民俗学（旧カリ）,山中 雅子
693,652133,倫理学１（旧カリ）,小林 智
694,652504,特別支援教育論,堀部 要子
695,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
696,652518,古文書学（旧カリ）,山中 雅子
697,652520,地理学１（旧カリ）,稲垣 建志
698,652521,地誌学（旧カリ）,稲垣 建志
699,653505,社会・地理歴史科指導法,都築 暢也
700,653507,社会・公民科指導法,毛利 公
701,653532,哲学１（旧カリ）,小林 智
702,654117,教育実習指導（事後）,片山 信吾
703,654528,教育実習指導（事後）,片山 信吾
704,661502,博物館教育論,川合 剛
705,662102,博物館資料保存論,川瀬 基弘
706,662105,日本文化史（旧カリ）,山中 雅子
707,662106,民俗学（旧カリ）,山中 雅子
708,662502,博物館展示論,尾坂 知江子
709,662504,古文書学（旧カリ）,山中 雅子
710,663004,博物館実習１,伊藤 俊一|岩井 眞實|大瀧 真俊|平山 勉|山中 雅子
711,663102,博物館資料論２,森 達也
712,663103,博物館情報論,平山 勉
713,663104,教育メディア環境論,平山 勉
714,664001,博物館実習２,平山 勉
715,663004,博物館実習１,"伊藤 俊一
岩井 眞實
大瀧 真俊
平山 勉
山中 雅子"
716,663102,博物館資料論２,森 達也
717,663103,博物館情報論,平山 勉
718,663104,教育メディア環境論,平山 勉
719,664001,博物館実習２,平山 勉
