,講義コード,講義名,担当者名
102,300112,基礎ゼミナール１,大藏 信之
103,300113,基礎ゼミナール１,西村 尚哉
104,300114,基礎ゼミナール１,宮田 喜久子
105,300115,基礎ゼミナール１,楊 剣鳴
106,300116,基礎ゼミナール１,板橋 一雄
107,300117,基礎ゼミナール１,片桐 誠之
108,300118,基礎ゼミナール１,吉久 光一
109,300501,基礎ゼミナール２,中村 栄造
110,300502,基礎ゼミナール２,宮北 惠子
111,300503,基礎ゼミナール２,榎本 暁
112,300504,基礎ゼミナール２,長澤 崇雄
113,300505,基礎ゼミナール２,大知 聖子
114,300506,基礎ゼミナール２,景山 伯春
115,300507,基礎ゼミナール２,相馬 仁
116,300508,基礎ゼミナール２,前川 明寛
117,300509,基礎ゼミナール２,中島 公平
118,300510,基礎ゼミナール２,早藤 英俊
119,300511,基礎ゼミナール２,大藏 信之
120,300512,基礎ゼミナール２,西村 尚哉
121,300513,基礎ゼミナール２,宮田 喜久子
122,300514,基礎ゼミナール２,楊 剣鳴
123,300515,基礎ゼミナール２,片桐 誠之
124,300516,基礎ゼミナール２,三宅 克英
125,300517,基礎ゼミナール２,吉久 光一
126,301135,数学基礎演習１（advanced）,大橋 美佐
127,301136,英語基礎演習１（advanced）,蟹江 弘子
128,301137,英語基礎演習１（advanced）,榎本 暁
129,301207,人文科学基礎１（再）,星 揚一郎
130,301208,社会科学基礎１（再）,齋藤 滋
131,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
132,301232,体育科学１（再）,内山 明
133,301233,アジア文化論１,大知 聖子
134,301234,アジア文化論１,齋藤 滋
135,301235,欧米文化論１,中村 栄造
136,301236,欧米文化論１,小野 康子
137,301323,心理学,重村 正之
138,301536,数学基礎演習２（advanced）,大橋 美佐
139,301537,英語基礎演習２（advanced）,蟹江 弘子
140,301538,英語基礎演習２（advanced）,榎本 暁
141,301606,人文科学基礎２（再）,星 揚一郎
142,301607,社会科学基礎２（再）,齋藤 滋
